c  DAYS-w instance, from daysall.net file
c  Vertices in file daysall-vertices0.dat
c  Edges in file daysall-edges0.dat
c  
p edges  13308     26943
e      3  4709     8
e      3 13148     8
e      5  8444     1
e      5  8996     1
e      9   905     1
e      9  8999     1
e      9  9775     1
e     19  1420     1
e     19  8692     1
e     20   294     1
e     20  1420     1
e     20  8999     1
e     20  9983     1
e     25  4699     1
e     25 12230     1
e     29  3020     1
e     29  8809     1
e     29 12575     1
e     30  9530     1
e     30 12575     1
e     31 10130     1
e     31 12814     1
e     31 13170     1
e     32  9341     1
e     32 11312     1
e     33   627     1
e     33 12122     3
e     33 12301     3
e     33 13148     2
e     34   195     2
e     34   485     1
e     34   525     2
e     34  1150     2
e     34  1200     7
e     34  1657     2
e     34  2002     5
e     34  2278     3
e     34  2648     2
e     34  3467     1
e     34  4290     2
e     34  4375     2
e     34  4633     2
e     34  4709     4
e     34  6870     6
e     34  7220     1
e     34  7392     2
e     34  7400     1
e     34  8245     6
e     34  8394     1
e     34  8996     5
e     34  9158     2
e     34  9896     2
e     34  9978     4
e     34 10308     4
e     34 10603     2
e     34 10607     2
e     34 11018     9
e     34 11065     3
e     34 11494     7
e     34 12084     1
e     34 12122    83
e     34 12261     3
e     34 12301    64
e     34 12304     1
e     34 12306     4
e     34 13148    32
e     56   115     1
e     60  7074     2
e     60  7081     1
e     60  7973     1
e     64  8897     1
e     64  8996     4
e     64 12103     5
e     65  8996     2
e     65 12103     2
e     75  3292     2
e     75 10409     1
e     76  7220     3
e     76 11038     1
e     76 12059     1
e     77  1961     1
e     79  5690     1
e     79  5937     1
e     82 10064     1
e     82 13136     1
e     82 13223     1
e     94  3248     1
e     94  9375     1
e     94 12301     1
e     97  1149     1
e     97  5966     1
e     97  6649     1
e     97  6894     1
e    100   425     1
e    100   900     1
e    100  2135     1
e    100  3252     1
e    102  3048     1
e    102  3229     1
e    102  3260     1
e    102  7457     1
e    102 11417     1
e    105  1200     1
e    105  1792     1
